#HOT-1000 raw data (C) Hitachi High-Technologies Corporation. 2001-2016. All rights reserved 
#Raw data export format
#Ver 2.00
#
#Bluetooth Address,78:61:7C:34:25:8F
#
Device time,Headset time(sec),HbT change(left subtracted),HbT change(right subtracted),Estimated pulse rate,HbT change(left SD1cm),HbT change(left SD3cm),HbT change(right SD1cm),HbT change(right SD3cm),saturation(left SD1cm),saturation(left SD3cm),saturation(right SD1cm),saturation(right SD3cm),noise detection flag,Mark
2017/11/24 15:38:54.217, 195.8, -0.22378634171053263, 1.446208587901307, 71.63129985551498, 0.23873378952040802, 0.7876817235818736, 0.8837079779005839, 2.273172983795607, 0, 0, 0, 0, 0, 1
2017/11/24 15:38:54.335, 195.9, -0.22747036088872727, 1.4440223939975714, 71.52424108763998, 0.22925511369591245, 0.7607113255535234, 0.8709772262743583, 2.2478778202336307, 0, 0, 0, 0, 0, 1
2017/11/24 15:38:54.444, 196.0, -0.23133330175000266, 1.4410167700067262, 71.42397994554226, 0.2103514994963822, 0.7249756165553318, 0.8677995966790037, 2.2478778202336307, 0, 0, 0, 0, 0, 1
2017/11/24 15:38:54.516, 196.1, -0.23533217825338779, 1.4376182640575357, 71.31522705030814, 0.18525734393666848, 0.6777218685083337, 0.8456125555183869, 2.197668193287622, 0, 0, 0, 0, 0, 1
2017/11/24 15:38:54.634, 196.2, -0.23960635207415779, 1.4342014134881684, 71.21539622626645, 0.15717614688020554, 0.6163714055492626, 0.7827581765821732, 2.05403911359936, 0, 0, 0, 0, 0, 1
2017/11/24 15:38:54.721, 196.3, -0.24381382237221425, 1.4307845629188014, 71.11060583130418, 0.1354437314182979, 0.5672522587162279, 0.7361305461605436, 1.9618521334658054, 0, 0, 0, 0, 0, 1
2017/11/24 15:38:54.817, 196.4, -0.24787889195521737, 1.4273677123494342, 71.00250627938523, 0.17587941058419432, 0.6454920469792054, 0.7671672690322122, 2.0419178955418276, 0, 0, 0, 0, 0, 1
2017/11/24 15:38:54.934, 196.5, -0.2514797443228599, 1.42356987304575, 70.89297191123256, 0.2134971428841883, 0.7249756165553318, 0.8172302654943611, 2.143837445590323, 0, 0, 0, 0, 0, 1
2017/11/24 15:38:55.023, 196.6, -0.2545850284774438, 1.4195837987385451, 70.7834375430799, 0.2324126761627081, 0.745790395351885, 0.8361338796938913, 2.176895417251887, 0, 0, 0, 0, 0, 1
2017/11/24 15:38:55.116, 196.7, -0.25758936369983626, 1.41559772443134, 70.6855838928003, 0.22294596459380145, 0.7338856278231765, 0.8487761114606842, 2.2018331248070813, 0, 0, 0, 0, 0, 1
2017/11/24 15:38:55.234, 196.8, -0.26086159287792376, 1.4116116501241351, 70.60365108766256, 0.18525734393666848, 0.6806621802661059, 0.8456125555183869, 2.2060015285499692, 0, 0, 0, 0, 0, 1
2017/11/24 15:38:55.323, 196.9, -0.2643955299558657, 1.4076475132661352, 70.52886740166986, 0.14474605968289644, 0.6192758494299451, 0.8235235325303423, 2.176895417251887, 0, 0, 0, 0, 0, 1
2017/11/24 15:38:55.419, 197.0, -0.26835933703271475, 1.4033017590370747, 70.45822141842457, 0.10456037195965173, 0.5528968081430188, 0.7921361099346473, 2.123286656281183, 0, 0, 0, 0, 0, 1
2017/11/24 15:38:55.530, 197.1, -0.2727274743622046, 1.399235127717689, 70.39993807254193, 0.07692751071544279, 0.49871891849829186, 0.7733977994334484, 2.106906625251678, 0, 0, 0, 0, 0, 1
2017/11/24 15:38:55.622, 197.2, -0.276484958973375, 1.395917777120419, 70.35706360432361, 0.11997820717959229, 0.5903070546065967, 0.8235235325303423, 2.2478778202336307, 0, 0, 0, 0, 0, 1
2017/11/24 15:38:55.717, 197.3, -0.27968118064264486, 1.393243494253478, 70.3141891361053, 0.15406572687320974, 0.6659778818995568, 0.8773385502876412, 2.3713408831854896, 0, 0, 0, 0, 0, 1
2017/11/24 15:38:55.833, 197.4, -0.2817830143798933, 1.3910069328587367, 70.2646380958993, 0.16028850303423336, 0.6718464271742013, 0.8868957370139814, 2.388612057525927, 0, 0, 0, 0, 0, 1
2017/11/24 15:38:55.921, 197.5, -0.2835363134750992, 1.388798680747922, 70.2299285922, 0.15406572687320974, 0.6542614149096879, 0.8773385502876412, 2.3498354736885356, 0, 0, 0, 0, 0, 1
2017/11/24 15:38:56.017, 197.6, -0.2856136086085158, 1.3874138607424007, 70.20386126871887, 0.1354437314182979, 0.613468647847994, 0.8551092345366493, 2.2901078010006857, 0, 0, 0, 0, 0, 1
2017/11/24 15:38:56.134, 197.7, -0.2880604166020454, 1.3866758978341542, 70.17813487646706, 0.11689083443561898, 0.5758853543861653, 0.8266731389337014, 2.222709981859485, 0, 0, 0, 0, 0, 1
2017/11/24 15:38:56.222, 197.8, -0.29115999789297947, 1.3863060853090416, 70.15240848421523, 0.08918993255754248, 0.5186109595123334, 0.7952660004906855, 2.1479577589672902, 0, 0, 0, 0, 0, 1
2017/11/24 15:38:56.318, 197.9, -0.29457675245856607, 1.3861496745224022, 70.1296582824396, 0.07999029794750623, 0.49588364765395987, 0.7733977994334484, 2.102819988326184, 0, 0, 0, 0, 0, 1
2017/11/24 15:38:56.430, 198.0, -0.2976637810278073, 1.3859932637357626, 70.10690808066398, 0.12925178016256478, 0.5989800836676382, 0.8140865998768128, 2.2101734103105666, 0, 0, 0, 0, 0, 1
2017/11/24 15:38:56.523, 198.1, -0.30022702432828546, 1.3868932171767006, 70.08415787888836, 0.15717614688020554, 0.6542614149096879, 0.8519416702875366, 2.2858687163889884, 0, 0, 0, 0, 0, 1
2017/11/24 15:38:56.617, 198.2, -0.3021472631325268, 1.3883566672334169, 70.06438386758893, 0.15717614688020554, 0.6454920469792054, 0.8551092345366493, 2.2816332227007288, 0, 0, 0, 0, 0, 1
2017/11/24 15:38:56.733, 198.3, -0.3042128450212283, 1.3895027253905776, 70.06509008227819, 0.14785068567522508, 0.613468647847994, 0.8298247305917803, 2.218527631134655, 0, 0, 0, 0, 0, 1
2017/11/24 15:38:56.823, 198.4, -0.3060719001460252, 1.3903829930381197, 70.06579629696745, 0.1261586776822341, 0.5672522587162279, 0.7952660004906855, 2.1356069910569793, 0, 0, 0, 0, 0, 1
2017/11/24 15:38:56.916, 198.5, -0.3084025925995848, 1.3915382551568476, 70.06650251165671, 0.10456037195965173, 0.5214591509878117, 0.7702815637451659, 2.070246583220215, 0, 0, 0, 0, 0, 1
2017/11/24 15:38:57.029, 198.6, -0.3109925068237833, 1.392177358157084, 70.08809781347057, 0.07692751071544279, 0.4619852127270665, 0.7299462534735621, 1.9737805685468204, 0, 0, 0, 0, 0, 1
2017/11/24 15:38:57.123, 198.7, -0.3145688129444487, 1.3918873641595293, 70.11129814866912, 0.06164165350269446, 0.4283150518203458, 0.6991390087533187, 1.88695912900014, 0, 0, 0, 0, 0, 1
2017/11/24 15:38:57.213, 198.8, -0.31806903467840597, 1.3912095440022434, 70.14654130277934, 0.11997820717959229, 0.5414420494102385, 0.7299462534735621, 1.9539156238629425, 0, 0, 0, 0, 0, 1
2017/11/24 15:38:57.329, 198.9, -0.32056536728070706, 1.389988833759858, 70.18212538811889, 0.16028850303423336, 0.6163714055492626, 0.7733977994334484, 2.0298259912204206, 0, 0, 0, 0, 0, 1
2017/11/24 15:38:57.423, 199.0, -0.3229457434565695, 1.387476107972809, 70.22932784415279, 0.1665190334354696, 0.6192758494299451, 0.7952660004906855, 2.0580860583771527, 0, 0, 0, 0, 0, 1
2017/11/24 15:38:57.515, 199.1, -0.3254219653500803, 1.3845514542094637, 70.31162959212574, 0.15717614688020554, 0.5931963930285198, 0.7858822004263839, 2.025801846133985, 0, 0, 0, 0, 0, 1
2017/11/24 15:38:57.630, 199.2, -0.3282270641799902, 1.3813487408534189, 70.40276884316238, 0.1323467972839838, 0.5414420494102385, 0.7640549128781844, 1.977763045858119, 0, 0, 0, 0, 0, 1
2017/11/24 15:38:57.724, 199.3, -0.3310660879745229, 1.3774340265172569, 70.50373870520929, 0.10456037195965173, 0.493049983650657, 0.7361305461605436, 1.9341292901669331, 0, 0, 0, 0, 0, 1
2017/11/24 15:38:57.813, 199.4, -0.3338781883140531, 1.3732214745143856, 70.61147936113862, 0.0738665984680269, 0.4395132647878697, 0.7268569731775711, 1.9262366287016843, 0, 0, 0, 0, 0, 1
2017/11/24 15:38:57.930, 199.5, -0.3374806739275271, 1.3691799431350054, 70.72209161491084, 0.0372810693826926, 0.37269712572703373, 0.6991390087533187, 1.88695912900014, 0, 0, 0, 0, 0, 1
2017/11/24 15:38:58.023, 199.6, -0.3410831595410011, 1.364665792119481, 70.83270386868305, 0.0738665984680269, 0.44231674117194064, 0.7052852910269678, 1.9144209477402705, 0, 0, 0, 0, 0, 1
2017/11/24 15:38:58.115, 199.7, -0.3443422178138877, 1.3605175608286877, 70.95103133646961, 0.1354437314182979, 0.5615051316466975, 0.7516248256808753, 2.025801846133985, 0, 0, 0, 0, 0, 1
2017/11/24 15:38:58.229, 199.8, -0.34725675616444984, 1.3571020271304515, 71.07317482223098, 0.15717614688020554, 0.5989800836676382, 0.7952660004906855, 2.1109966050298374, 0, 0, 0, 0, 0, 1
2017/11/24 15:38:58.322, 199.9, -0.3498019679735573, 1.3536645559830098, 71.18816918884731, 0.15717614688020554, 0.5903070546065967, 0.8015316654710221, 2.1479577589672902, 0, 0, 0, 0, 0, 1
2017/11/24 15:38:58.416, 200.0, -0.3519173097837576, 1.350462990793269, 71.29974486335757, 0.14474605968289644, 0.5615051316466975, 0.7983978515169765, 2.168610411213739, 0, 0, 0, 0, 0, 1
2017/11/24 15:38:58.547, 200.1, -0.35388874858660907, 1.3476317812431118, 71.40608716755682, 0.11997820717959229, 0.524308965827001, 0.7890081773959761, 2.1727511981998835, 0, 0, 0, 0, 0, 1
2017/11/24 15:38:58.622, 200.2, -0.35641078285000316, 1.346598902770332, 71.50224776749542, 0.09226024275533984, 0.48173135968871605, 0.7671672690322122, 2.1479577589672902, 0, 0, 0, 0, 0, 1
2017/11/24 15:38:58.715, 200.3, -0.3595394981140127, 1.3460638610491824, 71.59840836743402, 0.058590081848620024, 0.42272533631363984, 0.7392255632819626, 2.082436755857366, 0, 0, 0, 0, 0, 1
2017/11/24 15:38:58.829, 200.4, -0.3633673015071049, 1.3453233633215054, 71.70475067163326, 0.040319659570407396, 0.39209310460786195, 0.7176005681889555, 2.025801846133985, 0, 0, 0, 0, 0, 1
2017/11/24 15:38:58.922, 200.5, -0.3666038001867615, 1.3449419116082022, 71.80091127157185, 0.1107218021909766, 0.524308965827001, 0.7516248256808753, 2.1109966050298374, 0, 0, 0, 0, 0, 1
2017/11/24 15:38:59.016, 200.6, -0.3690093555018901, 1.3441529167704716, 71.89155149015228, 0.15717614688020554, 0.613468647847994, 0.7796361034242247, 2.1479577589672902, 0, 0, 0, 0, 0, 1
2017/11/24 15:38:59.129, 200.7, -0.3712004367613157, 1.3425937165433197, 71.99243761037204, 0.1665190334354696, 0.6192758494299451, 0.7827581765821732, 2.1191866150510292, 0, 0, 0, 0, 0, 1
2017/11/24 15:38:59.221, 200.8, -0.3733215023154072, 1.340666365933034, 72.1021791984158, 0.16340279774718702, 0.5989800836676382, 0.7827581765821732, 2.1109966050298374, 0, 0, 0, 0, 0, 1
2017/11/24 15:38:59.316, 200.9, -0.37486715660284076, 1.3383828445496233, 72.20928550620124, 0.12925178016256478, 0.564377869444769, 0.7237696004335978, 1.9897295453873212, 0, 0, 0, 0, 0, 1
2017/11/24 15:38:59.429, 201.0, -0.3769028104136515, 1.3364296776282485, 72.31745173484593, 0.09533243947257919, 0.5015557980070193, 0.6746291557522852, 1.8713341162844634, 0, 0, 0, 0, 0, 1
2017/11/24 15:38:59.521, 201.1, -0.3790351887097233, 1.3338871983702982, 72.42633697413198, 0.07999029794750623, 0.4507366140569893, 0.6380881892186618, 1.8016195864393993, 0, 0, 0, 0, 0, 1
2017/11/24 15:38:59.615, 201.2, -0.3815292006158104, 1.3303004051038025, 72.53224602294183, 0.03424432467956695, 0.3893176396462268, 0.5717822145117433, 1.6277547526641754, 0, 0, 0, 0, 0, 1
2017/11/24 15:38:59.728, 201.3, -0.38359307322301034, 1.3261601454241, 72.62754905546062, 0.03424432467956695, 0.3893176396462268, 0.541931379579224, 1.550348120067793, 0, 0, 0, 0, 0, 1
2017/11/24 15:38:59.821, 201.4, -0.3855628852509433, 1.3207922314577207, 72.72179216712016, 0.11689083443561898, 0.5328681690583839, 0.5837726279318076, 1.6575611002466721, 0, 0, 0, 0, 0, 1
2017/11/24 15:38:59.934, 201.5, -0.3867020778560106, 1.3136638157096912, 72.8160352787797, 0.14785068567522508, 0.6018744397542495, 0.5807723278117773, 1.6351896982720668, 0, 0, 0, 0, 0, 1
2017/11/24 15:39:00.039, 201.6, -0.38751848914067016, 1.3051395040534453, 72.90145130564876, 0.1323467972839838, 0.5989800836676382, 0.5687890985887787, 1.57234229043021, 0, 0, 0, 0, 0, 1
2017/11/24 15:39:00.120, 201.7, -0.3875817530352844, 1.2957257222823162, 72.98758634315918, 0.1261586776822341, 0.5701283013609562, 0.541931379579224, 1.5211722531841825, 0, 0, 0, 0, 0, 1
2017/11/24 15:39:00.216, 201.8, -0.3880327500478714, 1.2864028344348777, 73.07372138066961, 0.10764013799481198, 0.5271604058814701, 0.527072527633436, 1.4777252021133829, 0, 0, 0, 0, 0, 1
2017/11/24 15:39:00.333, 201.9, -0.3894507210165042, 1.2767751003622245, 73.15951548695072, 0.07999029794750623, 0.49021792466811576, 0.48570113320608677, 1.3954923868264708, 0, 0, 0, 0, 0, 1
2017/11/24 15:39:00.421, 202.0, -0.39073344849316244, 1.267646785206504, 73.23369122253747, -0.0020534753844536624, 0.37269712572703373, 0.31786130063026086, 1.139735185050911, 0, 0, 0, 0, 0, 1
2017/11/24 15:39:00.515, 202.1, -0.3916783050561628, 1.2586305446124337, 73.28775201559549, -0.08277271724123558, 0.20946173654370348, 0.12252395967571328, 0.8263166735824776, 0, 0, 0, 0, 0, 1
